evidence_id,source_id,primary_place_id,topic,normalized_text,text_kind,review_status
EVD_000754,SRC_000267,PLACE_000059,address,"Công viên Yên Sở nằm tại Quốc lộ 1A, phường Yên Sở, thành phố Hà Nội và gần nút giao Pháp Vân - Cầu Giẽ.",normalized_summary,approved
EVD_000755,SRC_000267,PLACE_000059,construction_and_developer,Dự án Công viên Yên Sở do Gamuda Land Việt Nam đầu tư xây dựng và được khởi công vào năm 2007.,normalized_summary,approved
EVD_000756,SRC_000267,PLACE_000059,total_area,"Công viên Yên Sở có tổng diện tích 323 ha, trong đó khoảng 280 ha là diện tích cây xanh và mặt nước.",normalized_summary,approved
EVD_000757,SRC_000268,PLACE_000059,lake_complex,"Cụm năm hồ Yên Sở là một hạng mục cảnh quan của Công viên Yên Sở; năm hồ đã được nạo vét, làm sạch để góp phần điều hòa môi trường khu vực.",normalized_summary,approved
EVD_000758,SRC_000269,PLACE_000059,cultural_components,"Các hạng mục văn hóa và cảnh quan của Công viên Yên Sở gồm Nhà triển lãm nghệ thuật, Sân khấu ngoài trời, Vườn mê cung và Làng văn hóa.",normalized_summary,approved
EVD_000759,SRC_000269,PLACE_000059,recreation_components,"Các hạng mục phục vụ giải trí tại Công viên Yên Sở gồm Nhà thuyền, Khu thể dục thể thao, Khu cắm trại và dã ngoại cùng các không gian vui chơi, đi dạo ngoài trời.",normalized_summary,approved
EVD_000760,SRC_000268,PLACE_000059,category_and_function,"Công viên Yên Sở là công viên đô thị và không gian xanh công cộng, phục vụ nhu cầu vui chơi, giải trí của người dân đồng thời hỗ trợ điều hòa môi trường phía Nam Hà Nội.",normalized_summary,approved
EVD_000761,SRC_000269,PLACE_000059,exhibition_activity,Nhà triển lãm nghệ thuật của Công viên Yên Sở được sử dụng cho hoạt động tham quan và thưởng thức triển lãm nghệ thuật.,normalized_summary,approved
EVD_000762,SRC_000269,PLACE_000059,outdoor_performance_activity,Sân khấu ngoài trời của Công viên Yên Sở là không gian phục vụ tổ chức và xem các chương trình biểu diễn ngoài trời.,normalized_summary,approved
EVD_000763,SRC_000269,PLACE_000059,exercise_activity,Khu thể dục thể thao của Công viên Yên Sở phục vụ hoạt động tập thể dục và rèn luyện thể chất.,normalized_summary,approved
EVD_000764,SRC_000269,PLACE_000059,camping_activity,"Khu cắm trại và dã ngoại của Công viên Yên Sở phục vụ hoạt động cắm trại, dã ngoại và sinh hoạt ngoài trời.",normalized_summary,approved
EVD_000765,SRC_000270,PLACE_000059,children_and_walking_activities,"Khu vui chơi trẻ em và hệ thống đường dạo tại Công viên Yên Sở phục vụ hoạt động vui chơi thiếu nhi, đi bộ và thư giãn của người dân.",normalized_summary,approved
EVD_000766,SRC_000268,PLACE_000059,official_opening,"Sự kiện Khai trương Công viên Yên Sở diễn ra ngày 4 tháng 4 năm 2014, đánh dấu việc công viên chính thức mở cửa phục vụ người dân.",normalized_summary,approved
EVD_000767,SRC_000268,PLACE_000059,opening_participants,Thủ tướng Malaysia Najib Razak và Bí thư Thành ủy Hà Nội Phạm Quang Nghị tham dự và thực hiện nghi thức cắt băng tại sự kiện Khai trương Công viên Yên Sở.,normalized_summary,approved
EVD_000768,SRC_000268,PLACE_000059,developer_representative,"Cheong Ho Kuan, Tổng giám đốc Gamuda Land Việt Nam, là nhân vật gắn với Công viên Yên Sở trong vai trò đại diện doanh nghiệp đầu tư phát triển dự án.",normalized_summary,approved
EVD_000769,SRC_000270,PLACE_000059,management_handover,"Ngày 10 tháng 2 năm 2026, Công viên Yên Sở được bàn giao cho Ủy ban nhân dân phường Yên Sở quản lý; việc bàn giao gắn với đợt chỉnh trang công viên.",normalized_summary,approved
EVD_000770,SRC_000270,PLACE_000059,renovation_works,"Trong tháng 2 năm 2026, Ủy ban nhân dân phường Yên Sở thực hiện chỉnh trang Công viên Yên Sở, gồm tháo khoảng 300 m hàng rào, mở hai lối vào mới, cải tạo đường dạo và hoàn thiện khu vui chơi trẻ em.",normalized_summary,approved
EVD_000771,SRC_000270,PLACE_000059,renovation_direction,"Vũ Tuấn Đạt, Chủ tịch Ủy ban nhân dân phường Yên Sở, tham gia chỉ đạo sự kiện bàn giao và chỉnh trang Công viên Yên Sở năm 2026.",normalized_summary,approved
