evidence_id,source_id,primary_place_id,topic,normalized_text,text_kind,review_status
EVD_000001,SRC_000001,PLACE_000001,overview,"Di tích lịch sử Hoàng thành Thăng Long có địa chỉ tại số 19C Hoàng Diệu, phường Ba Đình, thành phố Hà Nội.",normalized_summary,approved
EVD_000002,SRC_000002,PLACE_000001,overview,"Hoàng thành Thăng Long có diện tích khoảng 18,395 ha, bao gồm Đoan Môn, Cột cờ Hà Nội, Điện Kính Thiên, Hậu Lâu, Bắc Môn và khu khảo cổ 18 Hoàng Diệu.",normalized_summary,approved
EVD_000003,SRC_000003,PLACE_000001,recognition,"Ngày 01 tháng 08 năm 2010 theo giờ Việt Nam, Hoàng thành Thăng Long chính thức được UNESCO công nhận là Di sản văn hóa thế giới.",normalized_summary,approved
EVD_000004,SRC_000004,PLACE_000001,history,"Hoàng thành Thăng Long được khởi công xây dựng vào năm 1010 dưới thời vua Lý Thái Tổ, sau quyết định dời đô từ Hoa Lư ra thành Đại La và đổi tên thành Thăng Long.",normalized_summary,approved
EVD_000005,SRC_000005,PLACE_000001,history,UNESCO xác định Hoàng thành được xây dựng vào thế kỷ XI bởi triều Lý trên dấu tích một thành lũy có từ thế kỷ VII và là trung tâm quyền lực chính trị trong gần 13 thế kỷ.,normalized_summary,approved
EVD_000006,SRC_000005,PLACE_000001,recognition,"UNESCO ghi danh Khu trung tâm Hoàng thành Thăng Long ngày 31 tháng 7 năm 2010 theo các tiêu chí ii, iii và vi; vùng di sản rộng 18,395 ha và vùng đệm rộng 108 ha.",normalized_summary,approved
EVD_000007,SRC_000005,PLACE_000001,management,"Năm 2006, Ủy ban nhân dân thành phố Hà Nội giao Trung tâm Bảo tồn di tích Cổ Loa và Thành cổ Hà Nội, nay là Trung tâm Bảo tồn Di sản Thăng Long – Hà Nội, quản lý khu di sản.",normalized_summary,approved
EVD_000008,SRC_000006,PLACE_000001,architecture,"Điện Kính Thiên nằm trên núi Nùng ở trung tâm Hoàng thành; đây từng là nơi thiết triều, cử hành nghi lễ quốc gia và đón tiếp sứ thần.",normalized_summary,approved
EVD_000009,SRC_000006,PLACE_000001,history,"Năm 1428, vua Lê Thái Tổ cho xây Điện Kính Thiên trên nền cung điện thời Lý và Trần; công trình tiếp tục giữ vai trò trung tâm trong thời Lê sơ và Lê Trung hưng.",normalized_summary,approved
EVD_000010,SRC_000006,PLACE_000001,activity,"Điện Kính Thiên được dùng cho lễ đăng quang, thiết đại triều, tiếp sứ thần, ban chiếu chỉ và bàn việc chính trị, quân sự, ngoại giao.",normalized_summary,approved
EVD_000011,SRC_000006,PLACE_000001,architecture,"Điện Kính Thiên nguyên là kiến trúc gỗ cung đình thời Lê. Nền điện dài khoảng 57 m, rộng 41,5 m, cao khoảng 2,3 m; thềm phía nam có 10 bậc và các rồng đá được chạm năm 1467 dưới thời Lê Thánh Tông.",normalized_summary,approved
EVD_000012,SRC_000007,PLACE_000001,architecture,Đoan Môn là cổng chính phía nam dẫn vào Cấm thành. Công trình hiện còn do nhà Lê xây dựng trong thế kỷ XV–XVIII và được sửa sang dưới thời Nguyễn vào thế kỷ XIX; cổng có vai trò trong nghi lễ Hoàng thành.,normalized_summary,approved
EVD_000013,SRC_000008,PLACE_000001,architecture,"Lầu Tĩnh Bắc, còn gọi Hậu Lâu, được vua Minh Mạng dựng vào tháng 10 năm 1821; công trình xây bằng gạch, có ba gian, ba tầng và mang đặc trưng kiến trúc thời Nguyễn.",normalized_summary,approved
